HGNC ID	Status	Approved symbol	Approved name	Ensembl gene ID
HGNC:4160	Approved	GAPDHP14	glyceraldehyde-3-phosphate dehydrogenase pseudogene 14	ENSG00000236056
HGNC:13950	Approved	GAPDHP15	glyceraldehyde-3-phosphate dehydrogenase pseudogene 15	ENSG00000214563
HGNC:23768	Approved	GAPDHP16	glyceraldehyde-3-phosphate dehydrogenase pseudogene 16	ENSG00000225502
HGNC:37765	Approved	GAPDHP17	glyceraldehyde-3-phosphate dehydrogenase pseudogene 17	ENSG00000229551
HGNC:23947	Approved	GAPDHP19	glyceraldehyde 3 phosphate dehydrogenase pseudogene 19	ENSG00000234529
HGNC:37772	Approved	GAPDHP20	glyceraldehyde 3 phosphate dehydrogenase pseudogene 20	ENSG00000224333
HGNC:37773	Approved	GAPDHP21	glyceraldehyde 3 phosphate dehydrogenase pseudogene 21	ENSG00000236993
HGNC:37774	Approved	GAPDHP22	glyceraldehyde 3 phosphate dehydrogenase pseudogene 22	ENSG00000234005
HGNC:37775	Approved	GAPDHP23	glyceraldehyde 3 phosphate dehydrogenase pseudogene 23	ENSG00000235595
HGNC:37776	Approved	GAPDHP24	glyceraldehyde 3 phosphate dehydrogenase pseudogene 24	ENSG00000185221
HGNC:37777	Approved	GAPDHP25	glyceraldehyde 3 phosphate dehydrogenase pseudogene 25	ENSG00000213594
HGNC:37778	Approved	GAPDHP26	glyceraldehyde 3 phosphate dehydrogenase pseudogene 26	ENSG00000229541
HGNC:37779	Approved	GAPDHP27	glyceraldehyde 3 phosphate dehydrogenase pseudogene 27	ENSG00000239873
HGNC:37780	Approved	GAPDHP28	glyceraldehyde 3 phosphate dehydrogenase pseudogene 28	ENSG00000213449
HGNC:37781	Approved	GAPDHP29	glyceraldehyde 3 phosphate dehydrogenase pseudogene 29	ENSG00000178596
HGNC:37782	Approved	GAPDHP30	glyceraldehyde 3 phosphate dehydrogenase pseudogene 30	ENSG00000183663
HGNC:37783	Approved	GAPDHP31	glyceraldehyde 3 phosphate dehydrogenase pseudogene 31	ENSG00000235868
HGNC:37784	Approved	GAPDHP32	glyceraldehyde 3 phosphate dehydrogenase pseudogene 32	ENSG00000226443
HGNC:37785	Approved	GAPDHP33	glyceraldehyde 3 phosphate dehydrogenase pseudogene 33	ENSG00000240244
HGNC:37786	Approved	GAPDHP34	glyceraldehyde 3 phosphate dehydrogenase pseudogene 34	ENSG00000235306
HGNC:37789	Approved	GAPDHP35	glyceraldehyde 3 phosphate dehydrogenase pseudogene 35	ENSG00000250982
HGNC:37790	Approved	GAPDHP36	glyceraldehyde 3 phosphate dehydrogenase pseudogene 36	ENSG00000213158
HGNC:37791	Approved	GAPDHP37	glyceraldehyde 3 phosphate dehydrogenase pseudogene 37	ENSG00000231907
HGNC:37792	Approved	GAPDHP38	glyceraldehyde 3 phosphate dehydrogenase pseudogene 38	ENSG00000249210
HGNC:37796	Approved	GAPDHP39	glyceraldehyde 3 phosphate dehydrogenase pseudogene 39	ENSG00000239207
HGNC:37797	Approved	GAPDHP40	glyceraldehyde 3 phosphate dehydrogenase pseudogene 40	ENSG00000248626
HGNC:37798	Approved	GAPDHP41	glyceraldehyde 3 phosphate dehydrogenase pseudogene 41	ENSG00000277172
HGNC:37799	Approved	GAPDHP42	glyceraldehyde 3 phosphate dehydrogenase pseudogene 42	ENSG00000219881
HGNC:37800	Approved	GAPDHP43	glyceraldehyde 3 phosphate dehydrogenase pseudogene 43	ENSG00000250130
HGNC:37801	Approved	GAPDHP44	glyceraldehyde 3 phosphate dehydrogenase pseudogene 44	ENSG00000213352
HGNC:37802	Approved	GAPDHP45	glyceraldehyde 3 phosphate dehydrogenase pseudogene 45	ENSG00000228312
HGNC:37804	Approved	GAPDHP46	glyceraldehyde 3 phosphate dehydrogenase pseudogene 46	ENSG00000224678
HGNC:37803	Approved	GAPDHP47	glyceraldehyde 3 phosphate dehydrogenase pseudogene 47	ENSG00000243033
HGNC:37805	Approved	GAPDHP48	glyceraldehyde 3 phosphate dehydrogenase pseudogene 48	ENSG00000232718
HGNC:38555	Approved	GAPDHP49	glyceraldehyde 3 phosphate dehydrogenase pseudogene 49	ENSG00000234285
HGNC:38556	Approved	GAPDHP50	glyceraldehyde 3 phosphate dehydrogenase pseudogene 50	ENSG00000241861
HGNC:38557	Approved	GAPDHP51	glyceraldehyde 3 phosphate dehydrogenase pseudogene 51	ENSG00000236973
HGNC:38558	Approved	GAPDHP52	glyceraldehyde 3 phosphate dehydrogenase pseudogene 52	ENSG00000235076
HGNC:38559	Approved	GAPDHP53	glyceraldehyde 3 phosphate dehydrogenase pseudogene 53	ENSG00000234069
HGNC:38560	Approved	GAPDHP54	glyceraldehyde 3 phosphate dehydrogenase pseudogene 54	ENSG00000226769
HGNC:38561	Approved	GAPDHP55	glyceraldehyde 3 phosphate dehydrogenase pseudogene 55	ENSG00000224055
HGNC:38562	Approved	GAPDHP56	glyceraldehyde 3 phosphate dehydrogenase pseudogene 56	ENSG00000249018
HGNC:38563	Approved	GAPDHP57	glyceraldehyde 3 phosphate dehydrogenase pseudogene 57	ENSG00000236167
HGNC:4142	Approved	GAPDHP58	glyceraldehyde 3 phosphate dehydrogenase pseudogene 58	ENSG00000229570
HGNC:4152	Approved	GAPDHP59	glyceraldehyde-3-phosphate dehydrogenase pseudogene 59	ENSG00000231739
HGNC:4153	Approved	GAPDHP60	glyceraldehyde-3-phosphate dehydrogenase pseudogene 60	ENSG00000248180
HGNC:4155	Approved	GAPDHP61	glyceraldehyde 3 phosphate dehydrogenase pseudogene 61	ENSG00000248415
HGNC:4156	Approved	GAPDHP62	glyceraldehyde 3 phosphate dehydrogenase pseudogene 62	ENSG00000251013
HGNC:4157	Approved	GAPDHP63	glyceraldehyde 3 phosphate dehydrogenase pseudogene 63	ENSG00000218582
HGNC:4158	Approved	GAPDHP64	glyceraldehyde-3-phosphate dehydrogenase pseudogene 64	ENSG00000231072
HGNC:4143	Approved	GAPDHP65	glyceraldehyde 3 phosphate dehydrogenase pseudogene 65	ENSG00000235587
HGNC:4144	Approved	GAPDHP66	glyceraldehyde-3-phosphate dehydrogenase pseudogene 66	ENSG00000250933
HGNC:4145	Approved	GAPDHP67	glyceraldehyde 3 phosphate dehydrogenase pseudogene 67	ENSG00000219930
HGNC:4146	Approved	GAPDHP68	glyceraldehyde 3 phosphate dehydrogenase pseudogene 68	ENSG00000233876
HGNC:4147	Approved	GAPDHP69	glyceraldehyde 3 phosphate dehydrogenase pseudogene 69	ENSG00000223460
HGNC:4148	Approved	GAPDHP70	glyceraldehyde 3 phosphate dehydrogenase pseudogene 70	ENSG00000249489
HGNC:4149	Approved	GAPDHP71	glyceraldehyde-3-phosphate dehydrogenase pseudogene 71	ENSG00000213376
HGNC:22955	Approved	GAPDHP72	glyceraldehyde-3-phosphate dehydrogenase pseudogene 72	ENSG00000216624
HGNC:22956	Approved	GAPDHP73	glyceraldehyde-3-phosphate dehydrogenase pseudogene 73	ENSG00000226540
HGNC:50647	Approved	GAPDHP74	glyceraldehyde-3-phosphate dehydrogenase pseudogene 74	ENSG00000232780
HGNC:50648	Approved	GAPDHP75	glyceraldehyde-3-phosphate dehydrogenase pseudogene 75	ENSG00000226196
HGNC:50649	Approved	GAPDHP76	glyceraldehyde-3-phosphate dehydrogenase pseudogene 76	ENSG00000249840
HGNC:55049	Approved	GAPDHP77	GAPDH pseudogene 77	ENSG00000215000
HGNC:24864	Approved	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	ENSG00000105679
HGNC:51308	Approved	GAPLINC	gastric adenocarcinoma associated, positive CD44 regulator, long intergenic non-coding RNA	ENSG00000266835
HGNC:26588	Approved	GAPT	GRB2 binding adaptor protein, transmembrane	ENSG00000175857
HGNC:23375	Approved	GAPVD1	GTPase activating protein and VPS9 domains 1	ENSG00000165219
HGNC:14264	Approved	GAR1	GAR1 ribonucleoprotein	ENSG00000109534
HGNC:26136	Approved	GAREM1	GRB2 associated regulator of MAPK1 subtype 1	ENSG00000141441
HGNC:27172	Approved	GAREM2	GRB2 associated regulator of MAPK1 subtype 2	ENSG00000157833
HGNC:25425	Approved	GARNL3	GTPase activating Rap/RanGAP domain like 3	ENSG00000136895
HGNC:29016	Approved	GARRE1	granule associated Rac and RHOG effector 1	ENSG00000166398
HGNC:4162	Approved	GARS1	glycyl-tRNA synthetase 1	ENSG00000106105
HGNC:48951	Approved	GARS1-DT	GARS1 divergent transcript	ENSG00000196295
HGNC:50480	Approved	GARS1P1	glycyl-tRNA synthetase 1 pseudogene 1	ENSG00000262135
HGNC:4163	Approved	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	ENSG00000159131
HGNC:4165	Approved	GAS1	growth arrest specific 1	ENSG00000180447
HGNC:52261	Approved	GAS1RR	GAS1 adjacent regulatory RNA	ENSG00000226237
HGNC:4167	Approved	GAS2	growth arrest specific 2	ENSG00000148935
HGNC:16955	Approved	GAS2L1	growth arrest specific 2 like 1	ENSG00000185340
HGNC:50293	Approved	GAS2L1P1	growth arrest specific 2 like 1 pseudogene 1	ENSG00000229511
HGNC:27986	Approved	GAS2L1P2	growth arrest specific 2 like 1 pseudogene 2	ENSG00000228376
HGNC:24846	Approved	GAS2L2	growth arrest specific 2 like 2	ENSG00000270765
HGNC:27475	Approved	GAS2L3	growth arrest specific 2 like 3	ENSG00000139354
HGNC:16355	Approved	GAS5	growth arrest specific 5	ENSG00000234741
HGNC:44119	Approved	GAS5-AS1	GAS5 antisense RNA 1	ENSG00000270084
HGNC:4168	Approved	GAS6	growth arrest specific 6	ENSG00000183087
HGNC:39826	Approved	GAS6-AS1	GAS6 antisense RNA 1	ENSG00000233695
HGNC:43694	Approved	GAS6-DT	GAS6 divergent transcript	ENSG00000272695
HGNC:4169	Approved	GAS7	growth arrest specific 7	ENSG00000007237
HGNC:4166	Approved	GAS8	growth arrest specific 8	ENSG00000141013
HGNC:1197	Approved	GAS8-AS1	GAS8 antisense RNA 1	ENSG00000221819
HGNC:53461	Approved	GASAL1	growth arrest associated lncRNA 1	ENSG00000253669
HGNC:24485	Approved	GASK1A	golgi associated kinase 1A	ENSG00000144649
HGNC:25312	Approved	GASK1B	golgi associated kinase 1B	ENSG00000164125
HGNC:4164	Approved	GAST	gastrin	ENSG00000184502
HGNC:4170	Approved	GATA1	GATA binding protein 1	ENSG00000102145
HGNC:4171	Approved	GATA2	GATA binding protein 2	ENSG00000179348
HGNC:51108	Approved	GATA2-AS1	GATA2 antisense RNA 1	ENSG00000244300
HGNC:4172	Approved	GATA3	GATA binding protein 3	ENSG00000107485
HGNC:33786	Approved	GATA3-AS1	GATA3 antisense RNA 1	ENSG00000197308
HGNC:4173	Approved	GATA4	GATA binding protein 4	ENSG00000136574
HGNC:15802	Approved	GATA5	GATA binding protein 5	ENSG00000130700
HGNC:4174	Approved	GATA6	GATA binding protein 6	ENSG00000141448
HGNC:48840	Approved	GATA6-AS1	GATA6 antisense RNA 1 (head to head)	ENSG00000266010
HGNC:29941	Approved	GATAD1	GATA zinc finger domain containing 1	ENSG00000157259
HGNC:29989	Approved	GATAD2A	GATA zinc finger domain containing 2A	ENSG00000167491
HGNC:30778	Approved	GATAD2B	GATA zinc finger domain containing 2B	ENSG00000143614
HGNC:8849	Approved	GATB	glutamyl-tRNA amidotransferase subunit B	ENSG00000059691
HGNC:25068	Approved	GATC	glutamyl-tRNA amidotransferase subunit C	ENSG00000257218
HGNC:26616	Approved	GATD1	glutamine amidotransferase like class 1 domain containing 1	ENSG00000177225
HGNC:1273	Approved	GATD3A	glutamine amidotransferase like class 1 domain containing 3A	ENSG00000160221
HGNC:53816	Approved	GATD3B	glutamine amidotransferase like class 1 domain containing 3B	ENSG00000280071
HGNC:4175	Approved	GATM	glycine amidinotransferase	ENSG00000171766
HGNC:27073	Entry Withdrawn	GATM-AS1	GATM antisense RNA 1	
HGNC:53880	Approved	GAU1	GALNT8 antisense upstream 1	ENSG00000255474
HGNC:4177	Approved	GBA	glucosylceramidase beta	ENSG00000177628
HGNC:18986	Approved	GBA2	glucosylceramidase beta 2	ENSG00000070610
HGNC:19069	Approved	GBA3	glucosylceramidase beta 3 (gene/pseudogene)	ENSG00000249948
HGNC:4178	Approved	GBAP1	glucosylceramidase beta pseudogene 1	ENSG00000160766
HGNC:33452	Entry Withdrawn	GBD2	gallbladder disease 2	
HGNC:33453	Entry Withdrawn	GBD3	gallbladder disease 3	
HGNC:4180	Approved	GBE1	1,4-alpha-glucan branching enzyme 1	ENSG00000114480
HGNC:4181	Approved	GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1	ENSG00000107862
HGNC:20460	Approved	GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)	ENSG00000148288
HGNC:4182	Approved	GBP1	guanylate binding protein 1	ENSG00000117228
HGNC:39561	Approved	GBP1P1	guanylate binding protein 1 pseudogene 1	ENSG00000225492
HGNC:4183	Approved	GBP2	guanylate binding protein 2	ENSG00000162645
HGNC:4184	Approved	GBP3	guanylate binding protein 3	ENSG00000117226
HGNC:20480	Approved	GBP4	guanylate binding protein 4	ENSG00000162654
HGNC:19895	Approved	GBP5	guanylate binding protein 5	ENSG00000154451
HGNC:25395	Approved	GBP6	guanylate binding protein family member 6	ENSG00000183347
HGNC:29606	Approved	GBP7	guanylate binding protein 7	ENSG00000213512
HGNC:4185	Approved	GBX1	gastrulation brain homeobox 1	ENSG00000164900
HGNC:4186	Approved	GBX2	gastrulation brain homeobox 2	ENSG00000168505
HGNC:4187	Approved	GC	GC vitamin D binding protein	ENSG00000145321
HGNC:15990	Approved	GCA	grancalcin	ENSG00000115271
HGNC:52281	Approved	GCASPC	gall bladder cancer associated suppressor of pyruvate carboxylase lncRNA	
HGNC:4188	Approved	GCAT	glycine C-acetyltransferase	ENSG00000100116
HGNC:20013	Approved	GCATP1	glycine C-acetyltransferase pseudogene 1	ENSG00000270878
HGNC:19095	Approved	GCC1	GRIP and coiled-coil domain containing 1	ENSG00000179562
HGNC:23218	Approved	GCC2	GRIP and coiled-coil domain containing 2	ENSG00000135968
HGNC:28126	Approved	GCC2-AS1	GCC2 antisense RNA 1	ENSG00000214184
HGNC:4189	Approved	GCDH	glutaryl-CoA dehydrogenase	ENSG00000105607
HGNC:4190	Entry Withdrawn	GCF1	growth control factor 1	
HGNC:1317	Approved	GCFC2	GC-rich sequence DNA-binding factor 2	ENSG00000005436
HGNC:4191	Approved	GCG	glucagon	ENSG00000115263
HGNC:4192	Approved	GCGR	glucagon receptor	ENSG00000215644
HGNC:4193	Approved	GCH1	GTP cyclohydrolase 1	ENSG00000131979
HGNC:4194	Approved	GCHFR	GTP cyclohydrolase I feedback regulator	ENSG00000137880
HGNC:4195	Approved	GCK	glucokinase	ENSG00000106633
HGNC:4196	Approved	GCKR	glucokinase regulator	ENSG00000084734
HGNC:4311	Approved	GCLC	glutamate-cysteine ligase catalytic subunit	ENSG00000001084
HGNC:4312	Approved	GCLM	glutamate-cysteine ligase modifier subunit	ENSG00000023909
HGNC:4197	Approved	GCM1	glial cells missing transcription factor 1	ENSG00000137270
HGNC:4198	Approved	GCM2	glial cells missing transcription factor 2	ENSG00000124827
HGNC:4199	Approved	GCN1	GCN1 activator of EIF2AK4	ENSG00000089154
HGNC:15805	Approved	GCNA	germ cell nuclear acidic peptidase	ENSG00000147174
HGNC:52401	Approved	GCNAP1	GCNA pseudogene 1	ENSG00000256912
HGNC:4203	Approved	GCNT1	glucosaminyl (N-acetyl) transferase 1	ENSG00000187210
HGNC:16532	Approved	GCNT1P1	glucosaminyl (N-acetyl) transferase 1 pseudogene 1	ENSG00000236474
HGNC:37972	Approved	GCNT1P2	glucosaminyl (N-acetyl) transferase 1, core 2 pseudogene 2	ENSG00000249206
HGNC:37973	Approved	GCNT1P3	glucosaminyl (N-acetyl) transferase 1 pseudogene 3	ENSG00000231047
HGNC:37974	Approved	GCNT1P4	glucosaminyl (N-acetyl) transferase 1 pseudogene 4	ENSG00000219653
HGNC:37975	Approved	GCNT1P5	glucosaminyl (N-acetyl) transferase 1 pseudogene 5	ENSG00000237620
HGNC:4204	Approved	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group)	ENSG00000111846
HGNC:21623	Approved	GCNT2P1	GCNT2 pseudogene 1	ENSG00000205318
HGNC:4205	Approved	GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type	ENSG00000140297
HGNC:17973	Approved	GCNT4	glucosaminyl (N-acetyl) transferase 4	ENSG00000176928
HGNC:16099	Approved	GCNT7	glucosaminyl (N-acetyl) transferase family member 7	ENSG00000124091
HGNC:26424	Approved	GCOM1	GRINL1A complex locus 1	ENSG00000137878
HGNC:15712	Approved	GCOM2	GRINL1B complex locus 2 (pseudogene)	ENSG00000227725
HGNC:20253	Approved	GCSAM	germinal center associated signaling and motility	ENSG00000174500
HGNC:29583	Approved	GCSAML	germinal center associated signaling and motility like	ENSG00000169224
HGNC:41244	Approved	GCSAML-AS1	GCSAML antisense RNA 1	ENSG00000284824
HGNC:4208	Approved	GCSH	glycine cleavage system protein H	ENSG00000140905
HGNC:43922	Approved	GCSHP1	glycine cleavage system protein H pseudogene 1	ENSG00000248651
HGNC:43927	Approved	GCSHP2	glycine cleavage system protein H pseudogene 2	ENSG00000259525
HGNC:43929	Approved	GCSHP3	glycine cleavage system protein H pseudogene 3	ENSG00000237580
HGNC:43930	Approved	GCSHP4	glycine cleavage system protein H pseudogene 4	ENSG00000256171
HGNC:44195	Approved	GCSHP5	glycine cleavage system protein H pseudogene 5	ENSG00000224837
HGNC:54400	Approved	GCSIR	GPR55 cis regulatory suppressor of immune response RNA	ENSG00000232520
HGNC:16670	Entry Withdrawn	GCUD1	gastric cancer upregulated 1	
HGNC:4211	Entry Withdrawn	GCY	growth control, Y chromosome influenced	
HGNC:4212	Approved	GDA	guanine deaminase	ENSG00000119125
HGNC:15968	Approved	GDAP1	ganglioside induced differentiation associated protein 1	ENSG00000104381
HGNC:4213	Approved	GDAP1L1	ganglioside induced differentiation associated protein 1 like 1	ENSG00000124194
HGNC:18010	Approved	GDAP2	ganglioside induced differentiation associated protein 2	ENSG00000196505
HGNC:29644	Approved	GDE1	glycerophosphodiester phosphodiesterase 1	ENSG00000006007
HGNC:4214	Approved	GDF1	growth differentiation factor 1	ENSG00000130283
HGNC:4217	Approved	GDF2	growth differentiation factor 2	ENSG00000263761
HGNC:4218	Approved	GDF3	growth differentiation factor 3	ENSG00000184344
HGNC:4219	Entry Withdrawn	GDF4	growth differentiation factor 4	
HGNC:4220	Approved	GDF5	growth differentiation factor 5	ENSG00000125965
HGNC:33435	Approved	GDF5-AS1	GDF5 antisense RNA 1	ENSG00000204183
HGNC:4221	Approved	GDF6	growth differentiation factor 6	ENSG00000156466
HGNC:4222	Approved	GDF7	growth differentiation factor 7	ENSG00000143869
HGNC:4224	Approved	GDF9	growth differentiation factor 9	ENSG00000164404
HGNC:4215	Approved	GDF10	growth differentiation factor 10	ENSG00000266524
HGNC:4216	Approved	GDF11	growth differentiation factor 11	ENSG00000135414
HGNC:30142	Approved	GDF15	growth differentiation factor 15	ENSG00000130513
HGNC:4226	Approved	GDI1	GDP dissociation inhibitor 1	ENSG00000203879
HGNC:4227	Approved	GDI2	GDP dissociation inhibitor 2	ENSG00000057608
HGNC:4228	Approved	GDI2P1	GDP dissociation inhibitor 2 pseudogene 1	ENSG00000229165
HGNC:37976	Approved	GDI2P2	GDP dissociation inhibitor 2 pseudogene 2	ENSG00000233994
HGNC:4232	Approved	GDNF	glial cell derived neurotrophic factor	ENSG00000168621
HGNC:43592	Approved	GDNF-AS1	GDNF antisense RNA 1	ENSG00000248587
HGNC:20883	Approved	GDPD1	glycerophosphodiester phosphodiesterase domain containing 1	ENSG00000153982
HGNC:25974	Approved	GDPD2	glycerophosphodiester phosphodiesterase domain containing 2	ENSG00000130055
HGNC:28638	Approved	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3	ENSG00000102886
HGNC:24849	Approved	GDPD4	glycerophosphodiester phosphodiesterase domain containing 4	ENSG00000178795
HGNC:28804	Approved	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	ENSG00000158555
HGNC:34360	Approved	GDPGP1	GDP-D-glucose phosphorylase 1	ENSG00000183208
HGNC:4234	Approved	GEM	GTP binding protein overexpressed in skeletal muscle	ENSG00000164949
HGNC:10884	Approved	GEMIN2	gem nuclear organelle associated protein 2	ENSG00000092208
HGNC:49561	Approved	GEMIN2P1	gem nuclear organelle associated protein 2 pseudogene 1	ENSG00000235015
HGNC:49562	Approved	GEMIN2P2	gem nuclear organelle associated protein 2 pseudogene 2	ENSG00000235339
HGNC:15717	Approved	GEMIN4	gem nuclear organelle associated protein 4	ENSG00000179409
HGNC:20043	Approved	GEMIN5	gem nuclear organelle associated protein 5	ENSG00000082516
HGNC:20044	Approved	GEMIN6	gem nuclear organelle associated protein 6	ENSG00000152147
HGNC:20045	Approved	GEMIN7	gem nuclear organelle associated protein 7	ENSG00000142252
HGNC:53773	Approved	GEMIN7-AS1	GEMIN7 antisense RNA 1	ENSG00000267348
HGNC:54938	Approved	GEMIN7P1	GEMIN7 pseudogene 1	ENSG00000225238
HGNC:26044	Approved	GEMIN8	gem nuclear organelle associated protein 8	ENSG00000046647
HGNC:31818	Approved	GEMIN8P1	gem nuclear organelle associated protein 8 pseudogene 1	ENSG00000259496
HGNC:37977	Approved	GEMIN8P2	gem nuclear organelle associated protein 8 pseudogene 2	ENSG00000260451
HGNC:37978	Approved	GEMIN8P3	gem nuclear organelle associated protein 8 pseudogene 3	ENSG00000223772
HGNC:37979	Approved	GEMIN8P4	gem nuclear organelle associated protein 8 pseudogene 4	ENSG00000228175
HGNC:26881	Approved	GEN1	GEN1 Holliday junction 5' flap endonuclease	ENSG00000178295
HGNC:12790	Approved	GET1	guided entry of tail-anchored proteins factor 1	ENSG00000182093
HGNC:54635	Approved	GET1-SH3BGR	GET1-SH3BGR readthrough	ENSG00000285815
HGNC:752	Approved	GET3	guided entry of tail-anchored proteins factor 3, ATPase	ENSG00000198356
HGNC:21690	Approved	GET4	guided entry of tail-anchored proteins factor 4	ENSG00000239857
HGNC:4235	Approved	GFAP	glial fibrillary acidic protein	ENSG00000131095
HGNC:4236	Approved	GFER	growth factor, augmenter of liver regeneration	ENSG00000127554
HGNC:4237	Approved	GFI1	growth factor independent 1 transcriptional repressor	ENSG00000162676
HGNC:4238	Approved	GFI1B	growth factor independent 1B transcriptional repressor	ENSG00000165702
HGNC:13780	Approved	GFM1	G elongation factor mitochondrial 1	ENSG00000168827
HGNC:29682	Approved	GFM2	GTP dependent ribosome recycling factor mitochondrial 2	ENSG00000164347
HGNC:21096	Approved	GFOD1	glucose-fructose oxidoreductase domain containing 1	ENSG00000145990
HGNC:40956	Approved	GFOD1-AS1	GFOD1 antisense RNA 1	ENSG00000237786
HGNC:28159	Approved	GFOD2	glucose-fructose oxidoreductase domain containing 2	ENSG00000141098
HGNC:4241	Approved	GFPT1	glutamine--fructose-6-phosphate transaminase 1	ENSG00000198380
HGNC:4242	Approved	GFPT2	glutamine-fructose-6-phosphate transaminase 2	ENSG00000131459
HGNC:4243	Approved	GFRA1	GDNF family receptor alpha 1	ENSG00000151892
HGNC:4244	Approved	GFRA2	GDNF family receptor alpha 2	ENSG00000168546
HGNC:4245	Approved	GFRA3	GDNF family receptor alpha 3	ENSG00000146013
HGNC:13821	Approved	GFRA4	GDNF family receptor alpha 4	ENSG00000125861
HGNC:32789	Approved	GFRAL	GDNF family receptor alpha like	ENSG00000187871
HGNC:12390	Approved	GFUS	GDP-L-fucose synthase	ENSG00000104522
HGNC:44663	Approved	GFY	golgi associated olfactory signaling regulator	ENSG00000261949
HGNC:17842	Approved	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1	ENSG00000100083
HGNC:16064	Approved	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	ENSG00000103365
HGNC:17079	Approved	GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3	ENSG00000125447
HGNC:25100	Approved	GGACT	gamma-glutamylamine cyclotransferase	ENSG00000134864
HGNC:21705	Approved	GGCT	gamma-glutamylcyclotransferase	ENSG00000006625
HGNC:54609	Approved	GGCTP1	GGCT pseudogene 1	ENSG00000251000
HGNC:54610	Approved	GGCTP2	GGCT pseudogene 2	ENSG00000232943
HGNC:54611	Approved	GGCTP3	GGCT pseudogene 3	ENSG00000225842
HGNC:4247	Approved	GGCX	gamma-glutamyl carboxylase	ENSG00000115486
HGNC:4248	Approved	GGH	gamma-glutamyl hydrolase	ENSG00000137563
HGNC:18869	Approved	GGN	gametogenetin	ENSG00000179168
HGNC:19427	Approved	GGNBP1	gametogenetin binding protein 1 (pseudogene)	ENSG00000204188
HGNC:19357	Approved	GGNBP2	gametogenetin binding protein 2	ENSG00000278311
HGNC:4249	Approved	GGPS1	geranylgeranyl diphosphate synthase 1	ENSG00000152904
HGNC:4250	Approved	GGT1	gamma-glutamyltransferase 1	ENSG00000100031
HGNC:4251	Approved	GGT2	gamma-glutamyltransferase 2	ENSG00000133475
HGNC:4252	Approved	GGT3P	gamma-glutamyltransferase 3 pseudogene	ENSG00000197421
HGNC:33207	Approved	GGT4P	gamma-glutamyltransferase 4 pseudogene	ENSG00000280208
HGNC:4260	Approved	GGT5	gamma-glutamyltransferase 5	ENSG00000099998
HGNC:26891	Approved	GGT6	gamma-glutamyltransferase 6	ENSG00000167741
HGNC:4259	Approved	GGT7	gamma-glutamyltransferase 7	ENSG00000131067
HGNC:33438	Approved	GGT8P	gamma-glutamyltransferase 8 pseudogene	ENSG00000236969
HGNC:4253	Approved	GGTA1	glycoprotein alpha-galactosyltransferase 1 (inactive)	ENSG00000204136
HGNC:4254	Approved	GGTA2P	glycoprotein alpha-galactosyltransferase 2, pseudogene	ENSG00000237766
HGNC:4257	Entry Withdrawn	GGTL1	gamma-glutamyltransferase-like 1	
HGNC:4258	Entry Withdrawn	GGTL2	gamma-glutamyltransferase-like 2	
HGNC:16437	Approved	GGTLC1	gamma-glutamyltransferase light chain 1	ENSG00000149435
HGNC:18596	Approved	GGTLC2	gamma-glutamyltransferase light chain 2	ENSG00000100121
HGNC:33426	Approved	GGTLC3	gamma-glutamyltransferase light chain family member 3	ENSG00000274252
HGNC:33428	Approved	GGTLC4P	gamma-glutamyltransferase light chain 4 pseudogene	ENSG00000230712
HGNC:33427	Approved	GGTLC5P	gamma-glutamyltransferase light chain 5 pseudogene	ENSG00000276160
HGNC:4261	Approved	GH1	growth hormone 1	ENSG00000259384
HGNC:4262	Approved	GH2	growth hormone 2	ENSG00000136487
HGNC:24438	Approved	GHDC	GH3 domain containing	ENSG00000167925
HGNC:49425	Approved	GHET1	gastric carcinoma proliferation enhancing transcript 1	ENSG00000281189
HGNC:17281	Approved	GHITM	growth hormone inducible transmembrane protein	ENSG00000165678
HGNC:4263	Approved	GHR	growth hormone receptor	ENSG00000112964
HGNC:4265	Approved	GHRH	growth hormone releasing hormone	ENSG00000118702
HGNC:4266	Approved	GHRHR	growth hormone releasing hormone receptor	ENSG00000106128
HGNC:18129	Approved	GHRL	ghrelin and obestatin prepropeptide	ENSG00000157017
HGNC:33885	Approved	GHRLOS	ghrelin opposite strand/antisense RNA	ENSG00000240288
HGNC:4267	Approved	GHSR	growth hormone secretagogue receptor	ENSG00000121853
HGNC:28453	Approved	GID4	GID complex subunit 4 homolog	ENSG00000141034
HGNC:15857	Approved	GID8	GID complex subunit 8 homolog	ENSG00000101193
HGNC:9126	Approved	GIGYF1	GRB10 interacting GYF protein 1	ENSG00000146830
HGNC:11960	Approved	GIGYF2	GRB10 interacting GYF protein 2	ENSG00000204120
